Gene,GFPneg_Rep1,GFPpos_Rep1,GFPneg_Rep2,GFPpos_Rep2
NR5A1,2,0,15,0
NR5A2,19,2,57,0
NR6A1,24,62,63,16
NRAP,21,232,46,75
NRAS,303,1158,737,1565
NRBF2,149,482,273,840
NRBP1,905,5304,1039,3476
NRBP2,46,640,52,657
NRCAM,52,141,36,19
NRDC,640,1794,820,1687
NRDE2,50,405,143,507
NREP,3087,76421,953,138500
NRF1,283,969,560,854
NRG1,551,144,276,32
NRG2,5,4,14,0
NRG3,5,0,3,0
NRG4,60,174,35,293
NRGN,0,0,0,0
NRIP1,259,1826,265,1148
NRIP2,28,5,56,38
NRIP3,24,81,25,36
NRK,27,0,28,1
NRL,0,1,5,0
NRM,10,54,19,67
NRN1,1,1,5,0
NRN1L,295,1813,448,906
NRP1,986,7269,234,3767
NRP2,448,2504,347,1403
NRROS,221,34,597,91
NRSN1,15,32,5,26
NRSN2,0,0,10,0
NRTN,4,0,14,0
NRXN1,51,24,118,45
NRXN2,0,0,18,0
NRXN3,8,0,117,0
NSA2,309,1468,511,2472
NSD1,446,1425,543,1218
NSD2,154,430,246,145
NSD3,703,2725,689,1519
NSDHL,265,997,482,979
NSF,300,1198,373,833
NSFL1C,315,1446,344,2296
NSG1,12,90,36,43
NSG2,1,0,4,0
NSL1,75,261,102,643
NSMAF,878,2180,1127,3026
NSMCE1,281,1068,348,1660
NSMCE2,138,366,136,772
NSMCE4A,28,123,14,40
NSRP1,210,1226,238,1954
NSUN2,53,390,122,250
NSUN3,54,178,101,463
NSUN4,180,769,266,1143
NSUN5,174,681,209,332
NSUN6,110,410,225,618
NSUN7,22,87,31,70
NT5C,242,218,466,473
NT5C1A,2,5,37,13
NT5C2,1306,4334,1831,3178
NT5C3A,615,408,600,840
NT5C3B,108,579,92,493
NT5DC1,107,442,232,632
NT5DC2,42,166,58,153
NT5DC3,35,546,60,383
NT5DC4,0,0,0,0
NT5E,58,134,21,104
NT5M,9,17,0,10
NTAN1,601,1981,727,1350
NTF3,13,218,52,434
NTF4,9,2,26,1
NTHL1,103,544,184,417
NTM,6,16,29,24
NTMT1,95,378,80,225
NTN1,14,22,31,34
NTN3,0,44,5,28
NTN4,115,1363,43,851
NTN5,16,2,21,2
NTNG1,13,8,36,0
NTNG2,3,1,14,1
NTPCR,98,418,120,562
NTRK1,13,1,7,0
NTRK2,193,294,129,128
NTRK3,37,49,55,31
NTS,1,0,0,0
NTSR1,10,0,37,1
NTSR2,1,0,9,0
NUAK1,95,670,39,331
NUAK2,818,213,1245,199
NUB1,484,1983,582,1527
NUBP1,265,1126,404,1485
NUBP2,281,773,532,375
NUBPL,98,325,135,441
NUCB1,1797,12465,804,13583
NUCKS1,515,4954,689,6798
NUDC,1019,3196,1035,6801
NUDCD1,213,892,205,1155
NUDCD2,75,282,131,465
NUDCD3,410,3115,544,1662
NUDT1,115,436,232,1035
NUDT12,34,109,31,163
NUDT13,113,450,184,741
NUDT15,50,105,77,192
